city,lat,lng,pop,province
Houma,35.61998212,111.2099971,102400,Shanxi
Yueyang,29.38005292,113.1000109,826000,Hunan
Hengyang,26.88002464,112.5900162,887801,Hunan
Mianyang,31.46997703,104.7699768,830068,Sichuan
Xichang,27.88001528,102.2999983,253390,Sichuan
Baoshan,25.11997703,99.15000972,925000,Yunnan
Gejiu,23.37997988,103.1500756,142620,Yunnan
Shijianzhuang,38.05001467,114.4799784,2204737,Hebei
Handan,36.5799752,114.4799784,1494659,Hebei
Anshan,41.11502138,122.9400305,1419137.5,Liaoning
Dalian,38.92283839,121.6298308,2601153.5,Liaoning
Qingdao,36.08997927,120.3300089,2254122.5,Shandong
Linyi,35.07998924,118.329976,1176334.5,Shandong
Huaiyin,33.58000327,119.0299849,909615,Jiangsu
Wenzhou,28.0199809,120.6500927,1607836,Zhejiang
Ningbo,29.87997072,121.5500378,1321433.5,Zhejiang
Tongliao,43.61995892,122.2699939,572555,Nei Mongol
Hohhot,40.81997479,111.6599955,1250238.5,Nei Mongol
Chifeng,42.27001548,118.9499898,811827,Nei Mongol
Ulanhot,46.08001548,122.0800313,203870,Nei Mongol
Hailar,49.19998008,119.7000215,221118.5,Nei Mongol
Jiamusi,46.83002138,130.3500175,784774.5,Heilongjiang
Beian,48.23900515,126.4820365,154936,Heilongjiang
Daqing,46.57995913,125.0000081,948244,Heilongjiang
Jixi,45.29995974,130.9700313,684379.5,Heilongjiang
Jiayuguan,39.82000999,98.29998409,135337.5,Gansu
Xining,36.6199986,101.7700048,907765.5,Gansu
Guilin,25.2799931,110.280028,818176,Guangxi
Huainan,32.62998374,116.9799808,1239327.5,Anhui
Shantou,23.37000633,116.6700256,1467486.5,Guangdong
Lhasa,29.64502382,91.10001013,169160,Xizang
Hami,42.82698407,93.51500484,218960,Xinjiang Uygur
Hotan,37.09971092,79.92694535,187865,Xinjiang Uygur
Kashgar,39.47633588,75.9699259,472069.5,Xinjiang Uygur
Yinchuan,38.46797365,106.2730375,657614,Ningxia Hui
Pingxiang,27.62000531,113.8500427,666561.5,Jiangxi
Qiqihar,47.34497703,123.9899922,1261682,Heilongjiang
Shenzhen,22.55237051,114.1221231,4291796,Guangdong
Zibo,36.79998761,118.049993,1865385,Shandong
Lanzhou,36.05602785,103.7920003,2282609,Gansu
Nanning,22.81998822,108.3200443,1485394,Guangxi
Guiyang,26.58004295,106.7200386,2416816.5,Guizhou
Chongqing,29.56497703,106.5949816,5214014,Chongqing
Fuzhou,26.07999595,119.3000459,1892860,Fujian
Guangzhou,23.1449813,113.3250101,5990912.5,Guangdong
Dongguan,23.0488889,113.7447222,4528000,Guangdong
Xian,34.27502545,108.8949963,3617406,Shaanxi
Taiyuan,37.87501243,112.5450577,2817737.5,Shanxi
Wuhan,30.58003135,114.270017,5713603,Hubei
Changsha,28.19996991,112.969993,2338969,Hunan
Kunming,25.06998008,102.6799751,1977337,Yunnan
Zhengzhou,34.75499615,113.6650927,2325062.5,Henan
Shenyeng,41.80497927,123.4499735,4149596,Liaoning
Jinan,36.67498232,116.9950187,2433633,Shandong
Tianjin,39.13002626,117.2000191,5473103.5,Tianjin
Nanchang,28.67999229,115.8799963,2110675.5,Jiangxi
Nanjing,32.05001914,118.7799743,3383005,Jiangsu
Hangzhou,30.24997398,120.1700187,2442564.5,Zhejiang
Changchun,43.86500856,125.3399873,2860210.5,Jilin
Baotou,40.65220725,109.8220198,1229664.5,Nei Mongol
Harbin,45.74998395,126.6499849,3425441.5,Heilongjiang
Urumqi,43.80501223,87.57500565,1829612.5,Xinjiang Uygur
Chengdu,30.67000002,104.0700195,4036718.5,Sichuan
Beijing,39.92889223,116.3882857,9293300.5,Beijing
Shanghai,31.21645245,121.4365047,14797756,Shanghai
